num_threads,time_step,time,pi
8,1000000,0.093256000000000006,3.1415899999999999
8,1000000,0.097603999999999996,3.1415899999999999
8,1000000,0.087800000000000003,3.1415899999999999
8,1000000,0.096603999999999995,3.1415899999999999
8,1000000,0.070957999999999993,3.1415899999999999
8,1000000,0.075484999999999997,3.1415899999999999
8,1000000,0.080197000000000004,3.1415899999999999
8,100000000,9.2099600000000006,3.1415899999999999
8,100000000,8.64086,3.1415899999999999
8,100000000,7.6536600000000004,3.1415899999999999
8,100000000,8.0364199999999997,3.1415899999999999
8,100000000,9.1252600000000008,3.1415899999999999
8,100000000,9.4047800000000006,3.1415899999999999
8,100000000,9.2975700000000003,3.1415899999999999
8,100000000,8.9096700000000002,3.1415899999999999
8,100000000,7.5154500000000004,3.1415899999999999
8,100000000,9.4449699999999996,3.1415899999999999
